2.000000  2.56543e-11  4.24436e-51
2.100000  6.41869e-09  9.98432e-49
2.200000  5.25211e-07  7.65862e-47
2.300000  1.62679e-05  2.24162e-45
2.400000  0.000227758  2.98845e-44
2.500000  0.00164114  2.06022e-43
2.600000  0.00685226  8.30485e-43
2.700000  0.0192536  2.28617e-42
2.800000  0.0424006  4.99765e-42
2.900000  0.080736  9.50244e-42
3.000000  0.138278  1.62726e-41
3.100000  0.21622  2.54446e-41
3.200000  0.311631  3.66723e-41
3.300000  0.417412  4.91203e-41
3.400000  0.523464  6.16002e-41
3.500000  0.618734  7.28111e-41
3.600000  0.693467  8.16054e-41
3.700000  0.740973  8.71957e-41
3.800000  0.758494  8.92574e-41
3.900000  0.747098  8.79162e-41
4.000000  0.710873  8.36535e-41
4.100000  0.655751  7.71668e-41
4.200000  0.588309  6.92303e-41
4.300000  0.514796  6.05795e-41
4.400000  0.440508  5.18376e-41
4.500000  0.369463  4.34772e-41
4.600000  0.304366  3.58168e-41
4.700000  0.246746  2.90362e-41
4.800000  0.197183  2.32039e-41
4.900000  0.155571  1.8307e-41
5.000000  0.121345  1.42795e-41
5.100000  0.0936923  1.10253e-41
5.200000  0.0716913  8.43629e-42
5.300000  0.0544188  6.40378e-42
5.400000  0.0410156  4.82678e-42
5.500000  0.030721  3.61564e-42
5.600000  0.0228875  2.69374e-42
5.700000  0.0169765  1.99745e-42
5.800000  0.0125465  1.47512e-42
5.900000  0.00924073  1.0856e-42
6.000000  0.00677945  7.96591e-43
6.100000  0.00495155  5.83099e-43
6.200000  0.00360168  4.25974e-43
6.300000  0.00261456  3.10703e-43
6.400000  0.00190094  2.26357e-43
6.500000  0.00138915  1.64771e-43
6.600000  0.00102194  1.19879e-43
6.700000  0.00075561  8.71984e-44
6.800000  0.000559049  6.34277e-44
6.900000  0.000411587  4.61492e-44
7.000000  0.000300077  3.35964e-44
7.100000  0.000216065  2.44813e-44
7.200000  0.000153642  1.78638e-44
7.300000  0.000108184  1.3057e-44
7.400000  7.58016e-05  9.55949e-45
7.500000  5.31845e-05  7.00697e-45
7.600000  3.76107e-05  5.13699e-45
7.700000  2.69614e-05  3.76311e-45
7.800000  1.96718e-05  2.75311e-45
7.900000  1.46424e-05  2.01289e-45
8.000000  1.11246e-05  1.47379e-45
